Time_On_Site,Pages_Viewed,Exit_Rate,Visitor_Type,Device,Age,Voucher_Used
91.2,3,0.861,New_Visitor,Desktop,54,1
101.6,3,0.874,Returning_Visitor,Desktop,27,0
162.3,5,0.353,New_Visitor,Desktop,58,1
133.7,2,0.092,Returning_Visitor,Desktop,53,0
49.5,3,0.72,Returning_Visitor,Mobile,46,0
133.0,6,0.315,Returning_Visitor,Desktop,31,0
104.6,6,0.777,New_Visitor,Desktop,21,1
92.9,5,0.444,Returning_Visitor,Mobile,59,0
144.5,5,0.486,New_Visitor,Desktop,53,0
161.2,5,0.772,Returning_Visitor,Mobile,30,0
157.3,2,0.385,New_Visitor,Mobile,35,1
86.4,5,0.444,Returning_Visitor,Mobile,50,1
107.6,5,0.379,Returning_Visitor,Mobile,38,0
133.3,4,0.37,New_Visitor,Mobile,33,1
159.0,3,0.525,Returning_Visitor,Mobile,32,1
100.8,2,0.803,New_Visitor,Mobile,22,0
112.6,3,0.365,Returning_Visitor,Mobile,23,0
75.7,3,0.524,Returning_Visitor,Mobile,55,0
72.2,5,0.667,Returning_Visitor,Mobile,20,0
152.5,6,0.274,Returning_Visitor,Desktop,29,0
174.2,4,0.282,New_Visitor,Mobile,53,0
117.1,3,0.925,Returning_Visitor,Mobile,50,0
160.1,5,0.719,New_Visitor,Desktop,53,1
134.5,7,0.576,Returning_Visitor,Desktop,50,0
94.2,5,0.645,Returning_Visitor,Desktop,48,0
134.5,3,0.039,Returning_Visitor,Mobile,38,0
181.5,5,0.616,New_Visitor,Mobile,44,0
118.6,7,0.509,Returning_Visitor,Desktop,44,0
182.6,7,0.545,Returning_Visitor,Mobile,25,1
15.2,3,0.362,Returning_Visitor,Mobile,54,0
152.9,7,0.09,New_Visitor,Mobile,49,1
123.5,4,0.199,New_Visitor,Desktop,43,0
108.0,2,0.942,New_Visitor,Mobile,19,0
123.7,5,0.411,Returning_Visitor,Desktop,29,0
40.5,3,0.467,New_Visitor,Desktop,39,1
111.2,3,0.062,Returning_Visitor,Mobile,34,0
134.3,3,0.047,New_Visitor,Desktop,24,1
179.1,4,0.713,Returning_Visitor,Desktop,21,0
99.3,1,0.537,Returning_Visitor,Desktop,54,0
87.7,3,0.509,Returning_Visitor,Mobile,55,0
99.9,7,0.248,Returning_Visitor,Desktop,49,0
156.6,3,0.74,New_Visitor,Mobile,28,0
133.2,5,0.175,New_Visitor,Desktop,18,0
98.8,2,0.196,New_Visitor,Mobile,42,1
140.5,3,0.461,Returning_Visitor,Mobile,59,1
123.9,1,0.291,Returning_Visitor,Desktop,41,1
158.7,5,0.253,Returning_Visitor,Desktop,34,0
91.9,4,0.642,Returning_Visitor,Mobile,25,0
106.9,3,0.648,Returning_Visitor,Mobile,44,0
104.3,7,0.818,Returning_Visitor,Mobile,35,1
61.5,4,0.419,Returning_Visitor,Desktop,44,0
131.8,7,0.082,New_Visitor,Desktop,39,0
130.4,5,0.278,Returning_Visitor,Desktop,33,0
120.2,2,0.97,Returning_Visitor,Mobile,19,0
110.6,1,0.594,Returning_Visitor,Mobile,22,0
63.4,6,0.706,Returning_Visitor,Desktop,35,1
103.2,2,0.017,Returning_Visitor,Desktop,20,0
106.3,3,0.518,New_Visitor,Mobile,44,0
87.9,3,0.047,Returning_Visitor,Desktop,34,0
113.5,3,0.568,Returning_Visitor,Mobile,33,0
136.2,4,0.912,New_Visitor,Mobile,23,0
195.4,9,0.959,Returning_Visitor,Mobile,24,1
127.0,4,0.54,Returning_Visitor,Mobile,31,0
130.3,4,0.459,Returning_Visitor,Mobile,55,0
117.0,7,0.936,New_Visitor,Mobile,57,0
43.2,7,0.67,Returning_Visitor,Mobile,32,0
118.9,4,0.074,Returning_Visitor,Desktop,50,0
122.4,3,0.466,Returning_Visitor,Mobile,44,0
218.5,6,0.245,Returning_Visitor,Mobile,46,1
112.3,6,0.47,Returning_Visitor,Mobile,54,0
132.1,1,0.456,Returning_Visitor,Mobile,22,0
118.6,3,0.581,Returning_Visitor,Desktop,46,0
73.3,5,0.36,Returning_Visitor,Mobile,49,0
165.7,4,0.171,Returning_Visitor,Desktop,23,0
150.1,3,0.504,New_Visitor,Desktop,19,1
151.6,3,0.824,Returning_Visitor,Mobile,23,0
83.6,7,0.661,Returning_Visitor,Mobile,21,0
176.1,3,0.342,Returning_Visitor,Mobile,46,0
63.9,3,0.927,New_Visitor,Mobile,42,0
143.5,3,0.904,Returning_Visitor,Desktop,26,1
207.6,6,0.215,New_Visitor,Mobile,20,1
80.4,3,0.049,New_Visitor,Mobile,43,1
97.3,6,0.736,Returning_Visitor,Mobile,44,0
124.0,2,0.821,Returning_Visitor,Mobile,53,0
99.9,7,0.959,Returning_Visitor,Mobile,49,0
58.0,4,0.882,New_Visitor,Mobile,18,1
122.7,4,0.599,Returning_Visitor,Mobile,33,1
77.5,1,0.529,New_Visitor,Mobile,28,0
138.9,5,0.037,Returning_Visitor,Desktop,43,0
83.2,6,0.252,Returning_Visitor,Desktop,57,1
182.0,1,0.46,Returning_Visitor,Mobile,18,0
88.7,5,0.626,Returning_Visitor,Mobile,43,1
107.1,5,0.556,New_Visitor,Desktop,45,0
152.5,1,0.738,Returning_Visitor,Mobile,26,0
70.8,3,0.284,New_Visitor,Mobile,39,1
129.1,4,0.564,Returning_Visitor,Mobile,25,0
172.3,1,0.096,Returning_Visitor,Desktop,59,0
55.7,2,0.415,New_Visitor,Mobile,44,1
127.4,4,0.745,Returning_Visitor,Desktop,56,0
130.4,4,0.69,Returning_Visitor,Desktop,36,0
151.3,5,0.981,New_Visitor,Desktop,42,1
70.5,5,0.282,New_Visitor,Desktop,55,0
67.2,1,0.498,New_Visitor,Mobile,38,0
140.9,4,0.333,Returning_Visitor,Mobile,41,0
131.9,3,0.442,Returning_Visitor,Desktop,41,0
130.0,3,0.85,New_Visitor,Desktop,36,0
133.9,6,0.681,New_Visitor,Mobile,19,0
92.8,3,0.875,Returning_Visitor,Desktop,31,0
129.3,3,0.209,Returning_Visitor,Mobile,49,0
131.7,2,0.866,Returning_Visitor,Mobile,59,0
91.4,6,0.069,Returning_Visitor,Mobile,49,0
194.6,4,0.881,New_Visitor,Mobile,45,1
139.0,3,0.332,Returning_Visitor,Mobile,56,0
72.3,4,0.318,Returning_Visitor,Mobile,57,0
146.3,5,0.512,New_Visitor,Mobile,59,1
81.0,6,0.932,Returning_Visitor,Mobile,57,1
151.5,7,0.057,Returning_Visitor,Mobile,30,0
166.3,4,0.355,Returning_Visitor,Desktop,29,1
87.2,4,0.849,New_Visitor,Mobile,25,0
158.5,6,0.398,Returning_Visitor,Mobile,32,0
136.5,3,0.205,Returning_Visitor,Mobile,43,1
152.9,4,0.426,Returning_Visitor,Mobile,29,1
195.9,6,0.388,Returning_Visitor,Desktop,44,0
110.2,6,0.907,New_Visitor,Mobile,35,1
89.9,3,0.757,New_Visitor,Desktop,53,1
84.4,2,0.505,Returning_Visitor,Mobile,44,0
87.4,8,0.979,New_Visitor,Mobile,26,0
116.9,4,0.466,Returning_Visitor,Mobile,56,0
133.6,4,0.067,Returning_Visitor,Mobile,18,0
131.1,4,0.267,Returning_Visitor,Mobile,24,0
153.1,1,0.437,Returning_Visitor,Mobile,43,1
120.5,10,0.164,Returning_Visitor,Mobile,24,1
178.1,6,0.939,New_Visitor,Mobile,24,1
109.4,1,0.762,Returning_Visitor,Desktop,25,0
228.8,8,0.273,Returning_Visitor,Mobile,33,0
145.0,6,0.589,Returning_Visitor,Mobile,20,0
85.7,3,0.717,New_Visitor,Mobile,27,0
77.2,1,0.932,Returning_Visitor,Mobile,24,0
139.3,4,0.874,New_Visitor,Mobile,38,1
111.1,5,0.515,New_Visitor,Desktop,54,1
148.6,2,0.769,New_Visitor,Desktop,48,1
138.9,2,0.561,Returning_Visitor,Mobile,40,0
117.1,4,0.552,New_Visitor,Mobile,44,1
86.1,3,0.122,New_Visitor,Mobile,39,1
59.4,7,0.134,New_Visitor,Desktop,56,1
102.1,7,0.529,New_Visitor,Mobile,44,1
154.3,3,0.273,Returning_Visitor,Mobile,21,1
128.6,7,0.031,New_Visitor,Mobile,41,1
70.2,1,0.718,New_Visitor,Desktop,40,0
126.9,2,0.042,Returning_Visitor,Mobile,36,0
135.4,3,0.593,Returning_Visitor,Mobile,59,0
84.6,3,0.538,Returning_Visitor,Desktop,20,0
126.1,2,0.959,Returning_Visitor,Mobile,44,1
122.3,1,0.485,New_Visitor,Desktop,20,0
74.3,1,0.072,Returning_Visitor,Mobile,45,0
134.3,3,0.551,New_Visitor,Desktop,34,0
142.4,4,0.834,Returning_Visitor,Desktop,48,0
163.3,3,0.987,Returning_Visitor,Mobile,27,0
162.2,5,0.432,New_Visitor,Desktop,39,1
64.9,6,0.324,Returning_Visitor,Mobile,47,0
82.5,3,0.899,Returning_Visitor,Desktop,38,0
140.6,2,0.197,Returning_Visitor,Mobile,53,0
140.6,3,0.613,Returning_Visitor,Desktop,40,1
140.6,3,0.408,Returning_Visitor,Mobile,55,0
274.1,3,0.05,New_Visitor,Desktop,29,0
142.8,6,0.35,New_Visitor,Mobile,42,1
165.4,7,0.27,Returning_Visitor,Desktop,37,0
158.2,2,0.682,Returning_Visitor,Desktop,59,0
146.1,4,0.94,Returning_Visitor,Mobile,24,0
107.4,3,0.273,Returning_Visitor,Desktop,46,0
150.4,6,0.805,Returning_Visitor,Desktop,46,0
89.1,8,0.064,Returning_Visitor,Mobile,30,0
110.5,5,0.537,Returning_Visitor,Mobile,20,0
100.6,4,0.079,Returning_Visitor,Mobile,19,1
123.3,1,0.925,Returning_Visitor,Mobile,33,0
212.6,2,0.761,Returning_Visitor,Mobile,47,0
45.3,5,0.655,Returning_Visitor,Mobile,55,0
147.5,5,0.817,New_Visitor,Mobile,23,0
55.5,3,0.645,Returning_Visitor,Mobile,24,0
101.1,1,0.96,Returning_Visitor,Mobile,22,1
163.6,1,0.71,Returning_Visitor,Desktop,24,0
122.6,4,0.916,Returning_Visitor,Desktop,51,0
76.9,8,0.517,Returning_Visitor,Mobile,49,0
91.4,3,0.125,New_Visitor,Desktop,30,1
147.2,6,0.528,Returning_Visitor,Desktop,47,0
90.8,1,0.134,Returning_Visitor,Desktop,42,1
128.7,4,0.591,Returning_Visitor,Mobile,38,1
121.8,4,0.483,New_Visitor,Mobile,38,0
93.9,6,0.62,Returning_Visitor,Desktop,45,0
205.8,1,0.02,Returning_Visitor,Desktop,37,1
145.4,7,0.201,Returning_Visitor,Desktop,51,1
39.0,2,0.492,Returning_Visitor,Desktop,22,0
127.5,5,0.941,Returning_Visitor,Mobile,35,0
93.5,6,0.386,Returning_Visitor,Mobile,56,0
154.1,7,0.426,Returning_Visitor,Mobile,28,0
88.3,5,0.71,Returning_Visitor,Mobile,34,0
115.4,4,0.602,New_Visitor,Desktop,39,0
140.2,5,0.303,Returning_Visitor,Mobile,54,0
154.6,5,0.413,Returning_Visitor,Mobile,37,0
72.0,3,0.223,Returning_Visitor,Desktop,23,0
106.6,1,0.957,Returning_Visitor,Mobile,51,0
101.0,4,0.138,New_Visitor,Desktop,31,1
93.9,8,0.374,New_Visitor,Desktop,40,1
190.6,3,0.035,Returning_Visitor,Mobile,37,0
136.2,2,0.227,New_Visitor,Mobile,30,1
69.6,4,0.775,Returning_Visitor,Mobile,58,0
156.7,3,0.207,Returning_Visitor,Mobile,49,0
204.9,3,0.088,Returning_Visitor,Mobile,43,1
161.3,2,0.475,New_Visitor,Mobile,31,1
59.2,5,0.02,New_Visitor,Desktop,53,0
100.6,5,0.093,Returning_Visitor,Mobile,25,0
170.7,4,0.801,Returning_Visitor,Desktop,57,1
91.7,3,0.766,Returning_Visitor,Mobile,39,0
137.8,7,0.907,Returning_Visitor,Mobile,39,0
151.0,4,0.847,Returning_Visitor,Desktop,33,0
82.9,3,0.68,Returning_Visitor,Mobile,44,0
117.6,1,0.061,Returning_Visitor,Mobile,27,0
10.0,2,0.777,Returning_Visitor,Desktop,42,0
79.0,3,0.839,New_Visitor,Desktop,48,1
109.9,3,0.793,New_Visitor,Desktop,38,0
70.1,5,0.508,Returning_Visitor,Mobile,44,0
185.3,4,0.238,Returning_Visitor,Mobile,34,0
62.8,5,0.838,New_Visitor,Desktop,50,0
102.4,7,0.723,New_Visitor,Desktop,48,0
125.2,3,0.971,Returning_Visitor,Mobile,59,1
177.7,5,0.163,New_Visitor,Desktop,43,0
62.6,2,0.231,Returning_Visitor,Mobile,38,0
166.5,6,0.218,Returning_Visitor,Mobile,53,0
120.4,5,0.787,Returning_Visitor,Mobile,18,0
80.7,6,0.193,Returning_Visitor,Mobile,21,1
138.5,3,0.075,Returning_Visitor,Mobile,21,1
128.0,2,0.989,Returning_Visitor,Mobile,43,0
96.0,1,0.034,Returning_Visitor,Mobile,21,0
122.8,2,0.829,Returning_Visitor,Desktop,26,0
104.6,3,0.368,Returning_Visitor,Desktop,47,0
124.5,2,0.835,New_Visitor,Desktop,21,0
146.5,7,0.554,New_Visitor,Desktop,22,1
183.4,2,0.894,New_Visitor,Mobile,40,0
70.5,4,0.918,New_Visitor,Mobile,33,1
205.3,4,0.019,Returning_Visitor,Desktop,39,0
41.9,1,0.084,Returning_Visitor,Mobile,54,0
113.9,4,0.255,Returning_Visitor,Mobile,25,0
143.5,6,0.666,Returning_Visitor,Mobile,50,1
131.2,4,0.881,Returning_Visitor,Desktop,55,0
95.1,7,0.461,Returning_Visitor,Mobile,33,0
111.7,2,0.605,Returning_Visitor,Desktop,22,1
100.3,4,0.195,New_Visitor,Mobile,33,0
96.4,5,0.799,New_Visitor,Desktop,24,0
154.0,5,0.958,Returning_Visitor,Desktop,18,1
134.3,1,0.273,Returning_Visitor,Desktop,26,0
92.3,5,0.495,New_Visitor,Mobile,35,0
156.0,3,0.094,New_Visitor,Mobile,20,1
132.3,4,0.558,Returning_Visitor,Desktop,41,1
152.5,2,0.503,New_Visitor,Mobile,45,1
145.2,5,0.152,Returning_Visitor,Mobile,27,0
86.8,8,0.443,Returning_Visitor,Mobile,26,0
97.6,4,0.337,Returning_Visitor,Desktop,30,0
149.9,9,0.521,Returning_Visitor,Mobile,52,0
144.4,3,0.584,Returning_Visitor,Desktop,40,0
119.2,3,0.018,Returning_Visitor,Mobile,34,1
124.7,1,0.756,Returning_Visitor,Mobile,24,0
171.1,4,0.709,Returning_Visitor,Desktop,33,0
96.3,4,0.369,New_Visitor,Mobile,57,0
141.9,1,0.062,Returning_Visitor,Mobile,53,0
111.9,3,0.75,Returning_Visitor,Desktop,37,0
111.3,4,0.946,Returning_Visitor,Desktop,41,0
164.0,7,0.245,Returning_Visitor,Mobile,22,1
153.0,4,0.327,Returning_Visitor,Desktop,23,1
152.5,3,0.19,New_Visitor,Desktop,45,1
172.2,1,0.575,Returning_Visitor,Desktop,22,0
120.8,5,0.162,Returning_Visitor,Mobile,56,0
147.3,7,0.359,Returning_Visitor,Mobile,55,0
107.6,4,0.693,Returning_Visitor,Desktop,19,0
133.0,4,0.559,New_Visitor,Desktop,56,1
114.8,1,0.389,Returning_Visitor,Mobile,38,0
123.9,8,0.422,New_Visitor,Mobile,57,0
143.8,4,0.561,Returning_Visitor,Mobile,54,0
87.3,1,0.016,Returning_Visitor,Mobile,35,0
203.7,1,0.087,New_Visitor,Mobile,29,0
79.8,2,0.874,Returning_Visitor,Mobile,34,1
71.4,4,0.086,New_Visitor,Desktop,54,0
166.3,1,0.703,New_Visitor,Mobile,55,1
151.7,7,0.912,Returning_Visitor,Desktop,32,0
145.0,4,0.275,Returning_Visitor,Mobile,24,0
145.1,7,0.373,Returning_Visitor,Mobile,31,0
119.5,6,0.568,Returning_Visitor,Mobile,18,0
84.1,5,0.874,Returning_Visitor,Mobile,55,0
123.0,7,0.933,Returning_Visitor,Desktop,20,0
92.9,6,0.735,New_Visitor,Desktop,54,1
159.0,8,0.095,New_Visitor,Mobile,48,0
114.1,4,0.666,Returning_Visitor,Mobile,30,0
87.0,2,0.412,Returning_Visitor,Mobile,35,0
107.1,8,0.471,Returning_Visitor,Desktop,34,0
136.5,6,0.058,Returning_Visitor,Desktop,34,0
97.5,2,0.197,Returning_Visitor,Mobile,28,0
87.1,5,0.785,New_Visitor,Desktop,37,0
129.7,4,0.455,New_Visitor,Desktop,27,1
129.8,3,0.306,Returning_Visitor,Mobile,46,1
99.7,4,0.386,Returning_Visitor,Mobile,51,1
101.2,3,0.847,Returning_Visitor,Desktop,34,0
129.3,3,0.744,New_Visitor,Desktop,59,0
62.1,6,0.277,Returning_Visitor,Mobile,30,0
63.7,3,0.125,New_Visitor,Mobile,56,1
91.3,3,0.257,New_Visitor,Mobile,44,0
111.5,3,0.912,Returning_Visitor,Mobile,43,0
132.4,5,0.58,New_Visitor,Desktop,45,0
179.0,3,0.533,Returning_Visitor,Mobile,30,0
154.3,4,0.594,New_Visitor,Desktop,29,0
113.6,3,0.369,Returning_Visitor,Desktop,45,1
119.2,3,0.801,Returning_Visitor,Mobile,19,0
79.9,6,0.523,Returning_Visitor,Mobile,54,1
119.3,4,0.124,Returning_Visitor,Mobile,51,0
108.5,7,0.136,New_Visitor,Desktop,40,1
132.9,1,0.536,Returning_Visitor,Mobile,46,1
86.9,6,0.928,Returning_Visitor,Desktop,52,0
140.8,3,0.312,New_Visitor,Desktop,28,0
181.3,4,0.862,Returning_Visitor,Mobile,50,0
115.6,3,0.759,New_Visitor,Desktop,28,0
136.1,5,0.253,Returning_Visitor,Desktop,26,0
147.6,3,0.046,Returning_Visitor,Mobile,31,0
104.0,2,0.11,New_Visitor,Mobile,26,0
129.0,1,0.724,Returning_Visitor,Desktop,56,0
120.5,4,0.206,Returning_Visitor,Desktop,20,0
123.9,9,0.374,Returning_Visitor,Mobile,46,1
89.1,2,0.502,Returning_Visitor,Mobile,36,0
121.0,6,0.721,Returning_Visitor,Mobile,53,0
139.9,5,0.121,Returning_Visitor,Desktop,49,0
178.0,3,0.408,Returning_Visitor,Mobile,24,0
158.4,3,0.485,New_Visitor,Mobile,45,1
206.1,2,0.54,Returning_Visitor,Desktop,35,1
89.3,4,0.812,Returning_Visitor,Mobile,22,1
154.9,3,0.178,Returning_Visitor,Desktop,40,0
127.3,1,0.802,Returning_Visitor,Mobile,39,0
207.6,5,0.689,Returning_Visitor,Desktop,43,1
87.7,4,0.555,Returning_Visitor,Mobile,59,0
86.4,7,0.696,Returning_Visitor,Desktop,29,0
96.0,4,0.414,Returning_Visitor,Desktop,57,0
35.0,7,0.146,Returning_Visitor,Mobile,36,0
99.0,4,0.662,Returning_Visitor,Mobile,18,0
89.6,3,0.524,Returning_Visitor,Mobile,20,0
126.0,1,0.637,Returning_Visitor,Mobile,44,0
133.7,4,0.341,New_Visitor,Desktop,35,1
195.0,1,0.899,Returning_Visitor,Desktop,47,0
158.0,3,0.586,Returning_Visitor,Mobile,19,0
96.9,3,0.094,New_Visitor,Desktop,22,0
84.1,2,0.451,New_Visitor,Desktop,46,0
139.7,5,0.751,Returning_Visitor,Desktop,50,0
67.2,5,0.788,Returning_Visitor,Mobile,59,0
193.3,5,0.495,Returning_Visitor,Mobile,37,0
167.2,3,0.887,New_Visitor,Mobile,47,1
101.2,4,0.272,New_Visitor,Mobile,59,1
51.5,1,0.412,Returning_Visitor,Mobile,22,0
174.2,3,0.891,Returning_Visitor,Mobile,38,0
115.4,3,0.888,New_Visitor,Mobile,32,0
169.5,8,0.682,Returning_Visitor,Desktop,37,0
56.2,4,0.852,Returning_Visitor,Mobile,25,0
96.0,4,0.097,New_Visitor,Mobile,48,1
120.2,4,0.858,New_Visitor,Mobile,29,0
121.9,2,0.324,New_Visitor,Mobile,38,0
102.0,5,0.185,Returning_Visitor,Mobile,47,0
144.9,2,0.245,Returning_Visitor,Mobile,44,1
77.3,5,0.42,Returning_Visitor,Mobile,43,1
114.3,3,0.256,Returning_Visitor,Mobile,50,0
124.8,4,0.324,Returning_Visitor,Mobile,43,0
140.6,6,0.142,Returning_Visitor,Mobile,43,0
148.5,3,0.3,Returning_Visitor,Desktop,53,0
75.0,9,0.571,New_Visitor,Mobile,57,0
58.6,4,0.443,Returning_Visitor,Mobile,18,0
171.1,4,0.35,Returning_Visitor,Mobile,32,1
133.3,1,0.742,Returning_Visitor,Mobile,18,0
90.1,7,0.886,Returning_Visitor,Mobile,28,1
182.0,4,0.752,New_Visitor,Mobile,19,1
124.6,4,0.335,Returning_Visitor,Desktop,18,0
167.2,4,0.74,Returning_Visitor,Mobile,48,0
122.7,3,0.159,Returning_Visitor,Mobile,33,1
202.4,1,0.138,Returning_Visitor,Desktop,39,0
190.2,3,0.349,Returning_Visitor,Desktop,59,0
110.0,9,0.802,Returning_Visitor,Mobile,35,0
158.9,2,0.251,Returning_Visitor,Mobile,34,0
145.8,7,0.072,Returning_Visitor,Mobile,47,0
174.7,2,0.139,Returning_Visitor,Mobile,27,1
81.4,5,0.852,Returning_Visitor,Mobile,52,0
147.4,1,0.631,Returning_Visitor,Mobile,38,1
162.3,3,0.258,Returning_Visitor,Desktop,33,0
49.7,9,0.554,New_Visitor,Mobile,23,0
72.7,6,0.527,New_Visitor,Mobile,20,1
38.4,8,0.652,Returning_Visitor,Mobile,58,0
109.2,5,0.239,Returning_Visitor,Desktop,38,1
148.7,5,0.857,Returning_Visitor,Mobile,30,0
180.1,5,0.313,Returning_Visitor,Desktop,35,0
123.0,2,0.69,New_Visitor,Mobile,41,1
185.1,9,0.026,Returning_Visitor,Mobile,44,1
64.8,5,0.375,Returning_Visitor,Mobile,21,0
51.9,1,0.355,Returning_Visitor,Mobile,39,0
117.8,4,0.543,Returning_Visitor,Mobile,41,0
135.4,5,0.081,Returning_Visitor,Mobile,57,0
118.7,3,0.784,New_Visitor,Mobile,27,0
37.3,5,0.223,Returning_Visitor,Desktop,19,0
116.4,3,0.673,New_Visitor,Mobile,57,0
67.8,4,0.797,Returning_Visitor,Mobile,23,0
146.8,3,0.561,Returning_Visitor,Mobile,35,0
134.7,1,0.736,Returning_Visitor,Desktop,34,0
82.4,5,0.659,Returning_Visitor,Desktop,55,0
99.4,3,0.358,Returning_Visitor,Mobile,40,0
77.6,2,0.803,Returning_Visitor,Mobile,47,0
117.5,2,0.299,New_Visitor,Mobile,38,0
158.2,4,0.57,Returning_Visitor,Desktop,27,0
80.6,2,0.74,Returning_Visitor,Desktop,30,0
140.2,4,0.381,Returning_Visitor,Mobile,29,0
98.8,3,0.307,Returning_Visitor,Mobile,26,0
88.3,2,0.46,New_Visitor,Mobile,21,0
115.7,3,0.812,New_Visitor,Mobile,56,0
78.6,10,0.921,Returning_Visitor,Desktop,41,0
97.9,4,0.544,Returning_Visitor,Mobile,51,0
72.1,5,0.658,Returning_Visitor,Mobile,56,0
198.6,3,0.895,Returning_Visitor,Desktop,58,1
121.4,4,0.107,New_Visitor,Desktop,22,1
92.0,4,0.237,Returning_Visitor,Mobile,32,0
128.6,3,0.705,New_Visitor,Desktop,21,1
115.5,6,0.817,Returning_Visitor,Mobile,56,0
111.2,3,0.85,New_Visitor,Desktop,25,1
144.6,5,0.417,Returning_Visitor,Desktop,41,0
150.3,3,0.098,New_Visitor,Mobile,45,1
98.8,1,0.439,Returning_Visitor,Desktop,44,0
97.0,6,0.236,Returning_Visitor,Desktop,18,1
109.0,3,0.295,Returning_Visitor,Mobile,51,0
27.9,2,0.767,Returning_Visitor,Mobile,34,0
59.4,5,0.084,Returning_Visitor,Desktop,54,0
174.7,6,0.821,New_Visitor,Mobile,55,1
185.8,1,0.429,Returning_Visitor,Mobile,43,0
110.0,6,0.594,Returning_Visitor,Desktop,41,0
143.1,2,0.098,New_Visitor,Desktop,56,0
132.5,2,0.341,New_Visitor,Mobile,38,0
243.2,2,0.098,Returning_Visitor,Mobile,47,0
164.8,3,0.952,Returning_Visitor,Mobile,30,0
114.9,4,0.801,Returning_Visitor,Mobile,54,0
81.8,3,0.46,Returning_Visitor,Mobile,20,1
55.7,3,0.229,New_Visitor,Desktop,49,1
128.1,1,0.925,New_Visitor,Mobile,52,0
89.7,4,0.348,Returning_Visitor,Mobile,36,0
63.1,7,0.168,New_Visitor,Mobile,31,0
94.1,6,0.562,Returning_Visitor,Desktop,39,0
76.7,6,0.935,Returning_Visitor,Mobile,34,0
187.5,5,0.014,New_Visitor,Mobile,21,1
155.3,3,0.243,Returning_Visitor,Mobile,57,0
119.7,2,0.93,New_Visitor,Mobile,36,1
179.2,5,0.178,Returning_Visitor,Mobile,54,1
123.1,6,0.121,New_Visitor,Mobile,19,1
85.5,1,0.569,Returning_Visitor,Mobile,32,1
180.9,6,0.855,Returning_Visitor,Mobile,19,0
141.6,3,0.478,Returning_Visitor,Mobile,28,0
78.5,4,0.985,Returning_Visitor,Mobile,40,0
112.4,4,0.676,New_Visitor,Mobile,27,1
85.0,3,0.083,Returning_Visitor,Mobile,20,0
64.7,10,0.983,Returning_Visitor,Mobile,22,0
157.0,1,0.41,Returning_Visitor,Mobile,20,0
196.4,5,0.292,New_Visitor,Desktop,55,1
64.1,2,0.557,Returning_Visitor,Mobile,30,0
142.5,2,0.308,New_Visitor,Mobile,59,0
94.0,3,0.095,Returning_Visitor,Mobile,36,1
100.5,7,0.011,New_Visitor,Desktop,57,0
96.3,1,0.451,Returning_Visitor,Desktop,52,1
