tourist_id,gioi_tinh,nhom_tuoi,muc_dich,so_nguoi,ngan_sach_trieu,so_ngay,mua,dia_diem,kenh_dat,danh_gia,khach_quay_lai,DV_Khach_San_Resort,DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi,DV_Tour_Trong_Ngay,DV_Thue_Xe_Oto,DV_Thue_Xe_Dien,HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Mua_Sam,HD_Am_Thuc,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc,HD_Nghi_Duong_Chua_Lanh,services_list,activities_list
KH0011,Nu,26-35,Cong_Tac,3,4.7,2,Xuan,Hoi_An,Super_App_Vi_Dien_Tu,3.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DV_Homestay_Glamping,HD_The_Thao_Nuoc
KH0012,Nam,26-35,Ban_Be,6,35.9,5,Ha,Ha_Noi,App_Di_Dong,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,"DV_Khach_San_Resort,DV_Ve_May_Bay","HD_Am_Thuc,HD_Chup_Anh_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0013,Nam,46-55,Ban_Be,4,40.2,3,Ha,Ha_Noi,Website_OTA,3.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"DV_Khach_San_Resort,DV_Thue_Xe_Dien",HD_Tham_Quan_Di_Tich
KH0014,Nu,55+,Ban_Be,6,14.8,3,Thu,Sapa,Super_App_Vi_Dien_Tu,4.0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,"DV_Khach_San_Resort,DV_Tour_Trong_Ngay,DV_Thue_Xe_Oto","HD_Leo_Nui_Trekking,HD_The_Thao_Nuoc"
KH0015,Nu,46-55,Ban_Be,1,10.6,5,Thu,Sapa,Super_App_Vi_Dien_Tu,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DV_Khach_San_Resort,HD_Leo_Nui_Trekking
KH0016,Nam,18-25,Tuan_Trang_Mat,2,9.2,8,Xuan,Hoi_An,Truc_Tiep,3.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,DV_Homestay_Glamping,"HD_Tham_Quan_Di_Tich,HD_Chup_Anh_Check_In"
KH0017,Nu,55+,Ban_Be,6,43.0,4,Xuan,Nha_Trang,App_Di_Dong,4.0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Trong_Ngay,DV_Thue_Xe_Oto","HD_Tam_Bien,HD_The_Thao_Nuoc"
KH0018,Nu,36-45,Di_Mot_Minh,3,20.5,6,Thu,Sapa,Website_OTA,2.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"DV_Khach_San_Resort,DV_Ve_Khu_Vui_Choi",HD_Mua_Sam
KH0019,Nam,26-35,Kham_Pha,4,14.6,4,Thu,Hue,Website_OTA,3.0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Thue_Xe_Dien","HD_Tham_Quan_Di_Tich,HD_Mua_Sam,HD_Am_Thuc,HD_Chup_Anh_Check_In"
KH0020,Nu,55+,Cong_Tac,5,23.7,3,Dong,Nha_Trang,Super_App_Vi_Dien_Tu,4.0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi,DV_Thue_Xe_Oto","HD_Tam_Bien,HD_Am_Thuc,HD_The_Thao_Nuoc"
KH0021,Nam,26-35,Di_Mot_Minh,2,4.6,2,Xuan,HCMC,Truc_Tiep,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,DV_Homestay_Glamping,"HD_Tam_Bien,HD_Chup_Anh_Check_In"
KH0022,Nu,36-45,Tuan_Trang_Mat,5,65.1,5,Dong,Mui_Ne,Website_OTA,4.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,"DV_Khach_San_Resort,DV_Thue_Xe_Oto","HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_Chup_Anh_Check_In"
KH0023,Nam,36-45,Ban_Be,6,48.7,5,Xuan,Da_Nang,Website_OTA,3.5,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi,DV_Tour_Trong_Ngay",HD_The_Thao_Nuoc
KH0024,Nu,26-35,Ban_Be,5,48.4,5,Thu,Da_Nang,App_Di_Dong,4.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc"
KH0025,Nu,55+,Kham_Pha,4,72.3,7,Xuan,Da_Nang,App_Di_Dong,3.5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Thue_Xe_Oto","HD_Tham_Quan_Di_Tich,HD_The_Thao_Nuoc"
KH0026,Nu,55+,Kham_Pha,2,7.8,5,Ha,Sapa,Truc_Tiep,3.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"DV_Homestay_Glamping,DV_Tour_Trong_Ngay",HD_Leo_Nui_Trekking
KH0027,Nu,36-45,Tuan_Trang_Mat,5,40.3,8,Thu,Hoi_An,Truc_Tiep,4.0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,DV_Homestay_Glamping,"HD_Tham_Quan_Di_Tich,HD_Mua_Sam"
KH0028,Nam,46-55,Gia_Dinh,2,53.9,8,Ha,Phu_Quoc,Super_App_Vi_Dien_Tu,3.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"DV_Khach_San_Resort,DV_Ve_Khu_Vui_Choi","HD_Tam_Bien,HD_Mua_Sam"
KH0029,Nam,26-35,Cong_Tac,2,17.3,5,Dong,Hoi_An,App_Di_Dong,2.5,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,"DV_Khach_San_Resort,DV_Thue_Xe_Dien","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Chup_Anh_Check_In"
KH0030,Nam,18-25,Di_Mot_Minh,2,29.6,3,Ha,Phu_Quoc,Website_OTA,3.5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,"DV_Khach_San_Resort,DV_Ve_Khu_Vui_Choi","HD_Leo_Nui_Trekking,HD_Mua_Sam,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc"
KH0031,Nam,55+,Di_Mot_Minh,4,98.4,7,Xuan,Sapa,Website_OTA,4.5,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"DV_Khach_San_Resort,DV_Tour_Trong_Ngay","HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0032,Nu,46-55,Ban_Be,4,25.7,7,Xuan,Da_Lat,App_Di_Dong,3.0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Tour_Trong_Ngay,DV_Thue_Xe_Oto",HD_Leo_Nui_Trekking
KH0033,Nu,18-25,Di_Mot_Minh,5,17.5,3,Dong,Da_Lat,Website_OTA,3.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Leo_Nui_Trekking,HD_Chup_Anh_Check_In"
KH0034,Nu,55+,Ban_Be,4,15.5,4,Ha,HCMC,Website_OTA,4.0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich"
KH0035,Nu,55+,Ban_Be,5,25.0,5,Dong,Nha_Trang,App_Di_Dong,3.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,DV_Khach_San_Resort,"HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_The_Thao_Nuoc"
KH0036,Nam,18-25,Tuan_Trang_Mat,6,33.5,5,Dong,Hue,Super_App_Vi_Dien_Tu,4.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,DV_Homestay_Glamping,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Chup_Anh_Check_In"
KH0037,Nam,36-45,Cong_Tac,4,88.5,6,Ha,Mui_Ne,Website_OTA,4.5,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,"DV_Khach_San_Resort,DV_Homestay_Glamping,DV_Thue_Xe_Oto","HD_Tam_Bien,HD_Leo_Nui_Trekking"
KH0038,Nu,36-45,Kham_Pha,6,40.2,7,Dong,Hue,Truc_Tiep,4.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,"DV_Homestay_Glamping,DV_Ve_May_Bay","HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Chup_Anh_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0039,Nu,26-35,Tuan_Trang_Mat,2,20.7,8,Ha,Hue,Super_App_Vi_Dien_Tu,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,DV_Khach_San_Resort,"HD_Chup_Anh_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0040,Nam,36-45,Gia_Dinh,2,17.6,4,Dong,Hoi_An,Truc_Tiep,4.5,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,DV_Khach_San_Resort,"HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_Mua_Sam,HD_Am_Thuc"
KH0041,Nam,18-25,Di_Mot_Minh,2,36.8,8,Ha,Ha_Long,Super_App_Vi_Dien_Tu,4.0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Tour_Trong_Ngay","HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc"
KH0042,Nu,18-25,Di_Mot_Minh,2,11.1,7,Xuan,Hoi_An,App_Di_Dong,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,DV_Khach_San_Resort,"HD_Tham_Quan_Di_Tich,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc"
KH0043,Nu,46-55,Ban_Be,6,49.1,5,Dong,Hoi_An,App_Di_Dong,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DV_Khach_San_Resort,HD_Chup_Anh_Check_In
KH0044,Nu,55+,Kham_Pha,6,29.9,3,Xuan,Mui_Ne,Truc_Tiep,3.0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,"DV_Homestay_Glamping,DV_Dua_Don_San_Bay,DV_Tour_Trong_Ngay","HD_Tam_Bien,HD_Am_Thuc,HD_The_Thao_Nuoc"
KH0045,Nu,46-55,Tuan_Trang_Mat,1,2.4,3,Xuan,Ha_Noi,Super_App_Vi_Dien_Tu,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DV_Homestay_Glamping,HD_Chup_Anh_Check_In
KH0046,Nu,46-55,Cong_Tac,4,23.1,8,Dong,Da_Nang,Website_OTA,4.0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc"
KH0047,Nam,55+,Kham_Pha,5,42.0,4,Xuan,Sapa,Website_OTA,3.5,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,"DV_Khach_San_Resort,DV_Homestay_Glamping,DV_Tour_Trong_Ngay,DV_Thue_Xe_Dien","HD_Leo_Nui_Trekking,HD_The_Thao_Nuoc"
KH0048,Nam,36-45,Tuan_Trang_Mat,4,8.4,2,Thu,Phu_Quoc,Super_App_Vi_Dien_Tu,3.5,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi,DV_Thue_Xe_Oto","HD_Tam_Bien,HD_Am_Thuc"
KH0049,Nu,36-45,Ban_Be,3,13.3,2,Dong,Phu_Quoc,Website_OTA,3.5,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Trong_Ngay","HD_Tham_Quan_Di_Tich,HD_Mua_Sam,HD_The_Thao_Nuoc"
KH0050,Nu,55+,Di_Mot_Minh,5,25.4,8,Dong,HCMC,App_Di_Dong,4.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay",HD_Tham_Quan_Di_Tich
KH0051,Nu,26-35,Ban_Be,6,39.9,3,Dong,Da_Nang,Super_App_Vi_Dien_Tu,3.5,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi","HD_Tam_Bien,HD_Chup_Anh_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0052,Nu,36-45,Tuan_Trang_Mat,3,4.0,2,Thu,HCMC,Website_OTA,3.5,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Tam_Bien,HD_Mua_Sam,HD_Chup_Anh_Check_In"
KH0053,Nu,36-45,Di_Mot_Minh,6,35.4,2,Xuan,Sapa,Truc_Tiep,5.0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,"DV_Khach_San_Resort,DV_Thue_Xe_Dien","HD_Tam_Bien,HD_Tham_Quan_Di_Tich"
KH0054,Nu,26-35,Kham_Pha,4,13.0,7,Thu,Hoi_An,Truc_Tiep,3.0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,"DV_Homestay_Glamping,DV_Thue_Xe_Oto","HD_Tam_Bien,HD_Tham_Quan_Di_Tich"
KH0055,Nu,36-45,Tuan_Trang_Mat,4,107.2,7,Thu,Nha_Trang,Website_OTA,4.0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Ve_Khu_Vui_Choi,DV_Tour_Trong_Ngay","HD_Tam_Bien,HD_Am_Thuc"
KH0056,Nam,26-35,Kham_Pha,5,58.6,5,Xuan,HCMC,Super_App_Vi_Dien_Tu,5.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Leo_Nui_Trekking,HD_Nghi_Duong_Chua_Lanh"
KH0057,Nam,55+,Tuan_Trang_Mat,6,53.1,8,Thu,Da_Lat,Website_OTA,3.0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Trong_Ngay,DV_Thue_Xe_Dien","HD_Tam_Bien,HD_Chup_Anh_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0058,Nu,46-55,Tuan_Trang_Mat,5,33.6,3,Xuan,Sapa,Truc_Tiep,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DV_Khach_San_Resort,HD_Chup_Anh_Check_In
KH0059,Nam,55+,Ban_Be,2,24.1,8,Ha,Da_Lat,App_Di_Dong,3.0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Mua_Sam"
KH0060,Nam,18-25,Kham_Pha,4,14.5,3,Ha,Hue,Super_App_Vi_Dien_Tu,3.5,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Chup_Anh_Check_In"
KH0061,Nu,36-45,Ban_Be,6,95.1,7,Dong,Mui_Ne,Super_App_Vi_Dien_Tu,4.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"DV_Khach_San_Resort,DV_Ve_Khu_Vui_Choi","HD_Mua_Sam,HD_The_Thao_Nuoc"
KH0062,Nu,18-25,Gia_Dinh,5,43.9,7,Thu,Ha_Long,App_Di_Dong,2.5,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,"DV_Homestay_Glamping,DV_Tour_Trong_Ngay,DV_Thue_Xe_Oto","HD_Tam_Bien,HD_Chup_Anh_Check_In"
KH0063,Nu,36-45,Cong_Tac,1,5.8,6,Xuan,Da_Lat,Truc_Tiep,4.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"DV_Homestay_Glamping,DV_Dua_Don_San_Bay,DV_Tour_Trong_Ngay",HD_Leo_Nui_Trekking
KH0064,Nam,18-25,Ban_Be,2,56.1,8,Xuan,Da_Nang,App_Di_Dong,4.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"DV_Khach_San_Resort,DV_Ve_Khu_Vui_Choi","HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc,HD_Nghi_Duong_Chua_Lanh"
KH0065,Nam,46-55,Ban_Be,5,19.8,6,Dong,Nha_Trang,Website_OTA,4.0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi,DV_Tour_Trong_Ngay","HD_Tam_Bien,HD_Am_Thuc,HD_The_Thao_Nuoc"
KH0066,Nu,18-25,Ban_Be,3,20.6,8,Dong,Hoi_An,App_Di_Dong,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DV_Homestay_Glamping,HD_Chup_Anh_Check_In
KH0067,Nam,46-55,Di_Mot_Minh,6,21.4,2,Dong,Mui_Ne,Super_App_Vi_Dien_Tu,4.0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"DV_Khach_San_Resort,DV_Tour_Trong_Ngay","HD_Tam_Bien,HD_Am_Thuc"
KH0068,Nam,18-25,Di_Mot_Minh,2,13.9,6,Ha,Hoi_An,Super_App_Vi_Dien_Tu,2.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,DV_Khach_San_Resort,"HD_Tham_Quan_Di_Tich,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc"
KH0069,Nam,55+,Tuan_Trang_Mat,5,63.0,3,Thu,Phu_Quoc,Super_App_Vi_Dien_Tu,4.5,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi,DV_Tour_Trong_Ngay",HD_Tam_Bien
KH0070,Nam,36-45,Cong_Tac,5,7.2,2,Ha,HCMC,App_Di_Dong,3.5,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Thue_Xe_Oto","HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Chup_Anh_Check_In"
KH0071,Nu,46-55,Ban_Be,2,5.9,2,Xuan,Hue,Truc_Tiep,4.0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Tham_Quan_Di_Tich,HD_Mua_Sam"
KH0072,Nam,26-35,Kham_Pha,5,37.4,7,Thu,Nha_Trang,Super_App_Vi_Dien_Tu,3.5,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi,DV_Tour_Trong_Ngay",HD_Leo_Nui_Trekking
KH0073,Nam,18-25,Ban_Be,5,42.1,7,Thu,Hue,App_Di_Dong,4.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,"DV_Khach_San_Resort,DV_Thue_Xe_Oto","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc,HD_Nghi_Duong_Chua_Lanh"
KH0074,Nu,18-25,Ban_Be,2,13.9,7,Ha,Mui_Ne,App_Di_Dong,3.5,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,DV_Homestay_Glamping,"HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Am_Thuc,HD_Chup_Anh_Check_In"
KH0075,Nu,18-25,Kham_Pha,1,2.3,2,Thu,Sapa,App_Di_Dong,3.5,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,"DV_Homestay_Glamping,DV_Dua_Don_San_Bay,DV_Thue_Xe_Dien","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Mua_Sam,HD_Chup_Anh_Check_In"
KH0076,Nam,55+,Cong_Tac,5,61.3,7,Thu,Sapa,Website_OTA,4.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,DV_Khach_San_Resort,"HD_Leo_Nui_Trekking,HD_Mua_Sam"
KH0077,Nam,36-45,Tuan_Trang_Mat,1,6.3,2,Dong,Nha_Trang,App_Di_Dong,4.5,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc,HD_Chup_Anh_Check_In"
KH0078,Nam,18-25,Tuan_Trang_Mat,4,17.1,4,Thu,Sapa,Truc_Tiep,4.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,"DV_Homestay_Glamping,DV_Thue_Xe_Dien","HD_Leo_Nui_Trekking,HD_Chup_Anh_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0079,Nu,46-55,Tuan_Trang_Mat,2,12.8,8,Xuan,Da_Lat,Super_App_Vi_Dien_Tu,3.0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Thue_Xe_Dien",HD_Leo_Nui_Trekking
KH0080,Nam,18-25,Ban_Be,1,7.1,3,Thu,Sapa,Website_OTA,4.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,DV_Khach_San_Resort,"HD_Mua_Sam,HD_Am_Thuc,HD_Chup_Anh_Check_In,HD_Nghi_Duong_Chua_Lanh"
