id,ngan_sach_trieu,so_ngay,so_nguoi,muc_dich,nhom_tuoi,gioi_tinh,mua,dia_diem,kenh_dat,danh_gia,khach_quay_lai,tu_den,hang_hang_khong,loai_khach_san,ho_boi,DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai,HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh,services_list,activities_list
11,5.0,1,2,Kham_Pha,45_54,Nu,Mua_Ha,Da_Nang,Truc_Tiep,4,1,HCMC,Vietravel_Airlines,Homestay,0,0,1,0,1,0,1,0,0,0,1,0,"DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Check_In"
12,10.0,2,1,Cong_Tac,25_34,Nam,Mua_Ha,Hoi_An,Website,5,0,Da_Nang,Vietnam_Airlines,Homestay,0,0,0,0,0,1,0,0,1,1,0,0,DV_Thue_Xe_Tu_Lai,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
13,23.0,4,4,Nghi_Duong,45_54,Nu,Mua_Xuan,Ha_Noi,Zalo_OA,4,0,HCMC,Bamboo_Airways,Hotel_3_Star,0,1,1,1,0,0,0,0,0,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay",
14,12.9,3,3,Cong_Tac,25_34,Nu,Mua_Ha,Da_Nang,Website,5,0,HCMC,Bamboo_Airways,Hotel_4_Star,1,1,0,0,0,1,1,0,0,1,1,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
15,42.2,3,1,Cong_Tac,35_44,Nam,Mua_Ha,Da_Nang,Zalo_OA,5,1,HCMC,Bamboo_Airways,Resort_5_Star,1,1,0,0,0,1,1,0,0,0,1,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Tam_Bien,HD_Check_In"
16,19.4,4,1,Nghi_Duong,18_24,Nam,Mua_Dong,HCMC,Mobile_App,4,0,Can_Tho,Vietnam_Airlines,Hotel_4_Star,1,1,0,0,0,0,0,0,0,0,0,0,DV_Khach_San_Homestay,
17,13.5,1,2,Cong_Tac,Tren_55,Nu,Mua_Xuan,Mui_Ne,Mobile_App,4,0,HCMC,VietJet_Air,Hotel_3_Star,0,0,0,0,0,0,1,0,0,0,0,0,,HD_Tam_Bien
18,41.1,4,1,Nghi_Duong,45_54,Nam,Mua_Dong,Da_Nang,Mobile_App,4,1,Hai_Phong,Bamboo_Airways,Hotel_4_Star,1,1,0,0,0,0,1,0,0,1,1,0,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
19,6.7,1,2,Cong_Tac,25_34,Nu,Mua_Xuan,Ha_Long,Website,5,0,Ha_Noi,Vietravel_Airlines,Hotel_4_Star,1,1,0,0,1,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
20,35.9,7,2,Nghi_Duong,35_44,Nu,Mua_Dong,Phu_Quoc,Website,4,1,Da_Nang,Bamboo_Airways,Resort_5_Star,1,1,0,0,1,1,0,0,0,0,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai",
21,10.8,3,3,Cong_Tac,45_54,Nu,Mua_Dong,Sapa,Truc_Tiep,5,0,HCMC,Vietravel_Airlines,Hotel_3_Star,0,1,1,1,0,0,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay",HD_Am_Thuc
22,4.8,1,5,Trang_Mat,45_54,Nam,Mua_Xuan,Hue,Truc_Tiep,3,0,Hai_Phong,Vietravel_Airlines,Hotel_3_Star,0,0,0,0,0,0,0,0,1,0,0,0,,HD_Tham_Quan_Di_Tich
23,37.3,6,2,Kham_Pha,45_54,Nu,Mua_Dong,Da_Nang,Truc_Tiep,4,1,Can_Tho,Vietravel_Airlines,Resort_5_Star,0,1,0,0,1,0,1,0,0,0,1,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Check_In"
24,4.8,4,4,Kham_Pha,35_44,Nu,Mua_Thu,Da_Nang,Zalo_OA,4,1,Can_Tho,Vietnam_Airlines,Hotel_3_Star,0,0,0,0,1,0,1,0,0,0,1,0,DV_Tour_Va_Khu_Vui_Choi,"HD_Tam_Bien,HD_Check_In"
25,37.0,7,2,Trang_Mat,45_54,Nam,Mua_Xuan,Da_Lat,Zalo_OA,5,1,Da_Nang,Vietravel_Airlines,Resort_5_Star,1,1,0,0,0,0,0,1,0,1,1,0,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Am_Thuc,HD_Check_In"
26,10.6,2,5,Kham_Pha,Tren_55,Nam,Mua_Dong,Hoi_An,Truc_Tiep,5,1,Can_Tho,Vietnam_Airlines,Homestay,0,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
27,38.4,3,5,Nghi_Duong,45_54,Nam,Mua_Thu,Da_Lat,Website,3,0,Da_Nang,VietJet_Air,Homestay,0,1,0,0,0,0,0,1,0,0,1,1,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
28,14.1,4,2,Cong_Tac,25_34,Nam,Mua_Thu,Hue,Mobile_App,4,0,Da_Nang,Vietnam_Airlines,Homestay,0,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
29,8.0,4,1,Cong_Tac,Tren_55,Nu,Mua_Xuan,Ha_Noi,Zalo_OA,5,1,Ha_Noi,None,Hotel_4_Star,1,1,0,0,0,0,0,0,1,0,0,0,DV_Khach_San_Homestay,HD_Tham_Quan_Di_Tich
30,5.9,4,3,Trang_Mat,45_54,Nu,Mua_Dong,Ha_Noi,Zalo_OA,5,1,HCMC,Vietnam_Airlines,Hotel_4_Star,0,1,1,1,0,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
31,37.7,6,4,Cong_Tac,Tren_55,Nam,Mua_Thu,Phu_Quoc,Mobile_App,5,1,Ha_Noi,VietJet_Air,Resort_5_Star,1,1,1,1,1,0,1,0,0,0,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Check_In"
32,11.6,3,1,Cong_Tac,45_54,Nu,Mua_Thu,Da_Lat,Zalo_OA,5,1,Da_Nang,VietJet_Air,Homestay,0,1,0,0,0,0,0,1,0,0,1,0,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Check_In"
33,11.4,2,2,Cong_Tac,25_34,Nu,Mua_Ha,Da_Nang,Mobile_App,3,0,Da_Nang,None,Homestay,0,1,0,0,0,1,1,0,0,0,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai",HD_Tam_Bien
34,8.7,1,2,Trang_Mat,45_54,Nu,Mua_Thu,Ha_Noi,Zalo_OA,5,0,HCMC,Vietnam_Airlines,Hotel_4_Star,0,1,1,1,0,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
35,33.6,7,4,Kham_Pha,Tren_55,Nu,Mua_Dong,Da_Nang,Truc_Tiep,3,0,Hai_Phong,Bamboo_Airways,Resort_5_Star,1,1,1,1,1,0,1,0,0,0,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Check_In"
36,22.0,5,5,Trang_Mat,35_44,Nam,Mua_Dong,Da_Lat,Mobile_App,5,0,Da_Nang,Bamboo_Airways,Resort_5_Star,1,1,0,0,0,0,0,0,0,0,1,1,DV_Khach_San_Homestay,"HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
37,14.2,4,2,Cong_Tac,Tren_55,Nu,Mua_Ha,Ha_Long,Truc_Tiep,3,0,Ha_Noi,Vietravel_Airlines,Hotel_4_Star,1,1,1,1,1,0,0,0,0,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi",
38,29.8,3,2,Nghi_Duong,25_34,Nu,Mua_Thu,Mui_Ne,Truc_Tiep,4,1,Da_Nang,VietJet_Air,Resort_5_Star,1,1,0,0,0,0,1,0,0,0,1,1,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
39,39.7,3,4,Trang_Mat,18_24,Nu,Mua_Xuan,HCMC,Zalo_OA,5,1,Da_Nang,Vietnam_Airlines,Resort_5_Star,0,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
40,3.3,2,4,Cong_Tac,Tren_55,Nam,Mua_Ha,Ha_Long,Zalo_OA,4,0,Hai_Phong,Vietravel_Airlines,Homestay,0,1,0,0,1,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
41,8.4,2,2,Trang_Mat,35_44,Nu,Mua_Ha,Mui_Ne,Truc_Tiep,4,1,Hai_Phong,Vietravel_Airlines,Hotel_3_Star,0,0,0,0,0,0,1,0,0,0,0,0,,HD_Tam_Bien
42,31.6,7,2,Nghi_Duong,35_44,Nu,Mua_Thu,Phu_Quoc,Truc_Tiep,5,1,HCMC,Vietravel_Airlines,Resort_5_Star,1,1,0,0,1,1,0,0,0,0,0,1,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai",HD_Nghi_Duong_Chua_Lanh
43,13.4,4,1,Kham_Pha,45_54,Nam,Mua_Dong,Da_Lat,Mobile_App,5,1,Can_Tho,Bamboo_Airways,Homestay,0,0,1,0,1,0,0,1,0,0,1,0,"DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Leo_Nui_Trekking,HD_Check_In"
44,5.8,3,2,Cong_Tac,Tren_55,Nu,Mua_Xuan,Mui_Ne,Zalo_OA,3,1,Hai_Phong,Vietnam_Airlines,Homestay,0,0,0,0,0,0,1,0,0,0,0,0,,HD_Tam_Bien
45,5.9,4,3,Cong_Tac,18_24,Nu,Mua_Xuan,Ha_Long,Zalo_OA,4,0,Da_Nang,Vietravel_Airlines,Hotel_3_Star,0,0,0,0,0,0,0,0,1,0,0,0,,HD_Tham_Quan_Di_Tich
46,3.9,3,3,Cong_Tac,45_54,Nu,Mua_Dong,Sapa,Website,4,1,Hai_Phong,Bamboo_Airways,Hotel_3_Star,0,1,0,0,0,0,0,1,0,0,1,0,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Check_In"
47,14.6,4,2,Trang_Mat,Tren_55,Nu,Mua_Ha,Da_Nang,Zalo_OA,3,1,Da_Nang,None,Homestay,0,1,0,0,0,0,1,0,0,0,0,0,DV_Khach_San_Homestay,HD_Tam_Bien
48,6.7,4,1,Cong_Tac,25_34,Nam,Mua_Ha,Nha_Trang,Zalo_OA,5,1,HCMC,Vietnam_Airlines,Homestay,0,1,0,0,1,0,1,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc"
49,19.2,4,5,Kham_Pha,35_44,Nu,Mua_Thu,HCMC,Zalo_OA,5,1,Da_Nang,Vietnam_Airlines,Resort_5_Star,0,1,1,1,1,1,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
50,5.6,1,4,Cong_Tac,18_24,Nam,Mua_Dong,Ha_Noi,Truc_Tiep,5,1,Ha_Noi,None,Hotel_4_Star,0,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
51,36.8,6,4,Nghi_Duong,25_34,Nam,Mua_Xuan,Hue,Truc_Tiep,3,1,Hai_Phong,Bamboo_Airways,Resort_5_Star,1,1,0,0,0,1,0,0,1,0,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai",HD_Tham_Quan_Di_Tich
52,44.0,6,1,Nghi_Duong,35_44,Nu,Mua_Thu,Sapa,Website,4,0,Hai_Phong,Bamboo_Airways,Hotel_3_Star,0,1,1,1,0,1,0,1,0,0,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Check_In"
53,9.4,2,1,Kham_Pha,35_44,Nam,Mua_Ha,Ha_Noi,Website,3,1,Da_Nang,VietJet_Air,Hotel_3_Star,0,0,1,1,1,0,0,0,1,0,0,0,"DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi",HD_Tham_Quan_Di_Tich
54,43.4,3,4,Nghi_Duong,45_54,Nu,Mua_Xuan,HCMC,Zalo_OA,5,1,Can_Tho,Vietnam_Airlines,Resort_5_Star,1,0,0,0,0,0,0,0,1,1,0,0,,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
55,4.5,3,2,Trang_Mat,45_54,Nam,Mua_Xuan,Mui_Ne,Website,5,0,Da_Nang,VietJet_Air,Homestay,0,1,0,0,0,0,1,0,0,0,0,0,DV_Khach_San_Homestay,HD_Tam_Bien
56,6.7,3,4,Kham_Pha,45_54,Nu,Mua_Dong,Da_Lat,Truc_Tiep,4,0,Hai_Phong,Vietravel_Airlines,Homestay,0,0,1,1,0,0,0,1,0,1,0,1,"DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Leo_Nui_Trekking,HD_Am_Thuc,HD_Nghi_Duong_Chua_Lanh"
57,7.2,2,2,Cong_Tac,18_24,Nu,Mua_Xuan,HCMC,Zalo_OA,5,0,Hai_Phong,Vietnam_Airlines,Hotel_4_Star,1,1,0,0,0,0,0,0,1,0,0,0,DV_Khach_San_Homestay,HD_Tham_Quan_Di_Tich
58,13.4,4,1,Cong_Tac,18_24,Nam,Mua_Xuan,Da_Lat,Zalo_OA,4,1,Da_Nang,Bamboo_Airways,Hotel_4_Star,1,1,0,0,0,0,0,0,0,0,1,0,DV_Khach_San_Homestay,HD_Check_In
59,12.0,1,4,Cong_Tac,35_44,Nu,Mua_Ha,Phu_Quoc,Website,3,1,Ha_Noi,VietJet_Air,Hotel_3_Star,0,1,1,0,1,1,1,0,0,1,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
60,5.4,2,5,Cong_Tac,18_24,Nam,Mua_Dong,Mui_Ne,Truc_Tiep,4,0,Can_Tho,Vietnam_Airlines,Homestay,0,1,0,0,0,0,1,0,0,0,1,0,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Check_In"
61,40.9,7,2,Cong_Tac,18_24,Nu,Mua_Ha,Da_Lat,Website,5,0,Hai_Phong,Vietnam_Airlines,Resort_5_Star,0,1,0,0,0,0,0,1,0,0,1,0,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Check_In"
62,26.9,5,4,Cong_Tac,18_24,Nu,Mua_Dong,Ha_Noi,Website,4,1,HCMC,Vietravel_Airlines,Resort_5_Star,1,1,1,1,0,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
63,12.0,1,2,Kham_Pha,18_24,Nam,Mua_Ha,Phu_Quoc,Zalo_OA,5,1,HCMC,VietJet_Air,Hotel_3_Star,0,0,0,0,1,0,1,0,0,0,1,0,DV_Tour_Va_Khu_Vui_Choi,"HD_Tam_Bien,HD_Check_In"
64,7.2,1,2,Kham_Pha,45_54,Nam,Mua_Thu,Mui_Ne,Truc_Tiep,5,1,Hai_Phong,Bamboo_Airways,Hotel_4_Star,1,1,0,0,0,0,1,0,0,0,0,0,DV_Khach_San_Homestay,HD_Tam_Bien
65,14.4,4,1,Trang_Mat,Tren_55,Nam,Mua_Xuan,Hue,Zalo_OA,4,1,Can_Tho,Vietravel_Airlines,Hotel_3_Star,0,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
66,12.4,3,1,Cong_Tac,35_44,Nu,Mua_Ha,HCMC,Truc_Tiep,4,0,Hai_Phong,Bamboo_Airways,Homestay,0,0,0,0,0,0,0,0,1,1,0,0,,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
67,10.7,3,5,Kham_Pha,35_44,Nu,Mua_Xuan,Phu_Quoc,Truc_Tiep,4,1,HCMC,Vietnam_Airlines,Hotel_4_Star,1,1,0,0,1,0,1,0,0,0,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi",HD_Tam_Bien
68,14.9,2,1,Cong_Tac,25_34,Nam,Mua_Thu,Ha_Long,Zalo_OA,4,0,Hai_Phong,VietJet_Air,Hotel_3_Star,0,0,0,0,1,1,0,0,1,0,0,0,"DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai",HD_Tham_Quan_Di_Tich
69,36.6,6,3,Kham_Pha,25_34,Nam,Mua_Dong,Ha_Noi,Mobile_App,4,0,Hai_Phong,Vietnam_Airlines,Resort_5_Star,1,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
70,13.4,1,4,Trang_Mat,35_44,Nu,Mua_Dong,Phu_Quoc,Truc_Tiep,5,1,HCMC,VietJet_Air,Hotel_3_Star,0,0,0,0,0,1,1,0,0,0,1,0,DV_Thue_Xe_Tu_Lai,"HD_Tam_Bien,HD_Check_In"
71,30.1,4,2,Trang_Mat,18_24,Nam,Mua_Ha,Hue,Truc_Tiep,3,0,Da_Nang,Vietnam_Airlines,Resort_5_Star,1,1,0,0,0,0,0,0,1,0,0,0,DV_Khach_San_Homestay,HD_Tham_Quan_Di_Tich
72,3.2,2,5,Cong_Tac,45_54,Nam,Mua_Xuan,Hoi_An,Truc_Tiep,4,1,Hai_Phong,Vietnam_Airlines,Homestay,0,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
73,10.5,2,4,Kham_Pha,45_54,Nu,Mua_Xuan,Da_Nang,Website,4,1,Ha_Noi,Vietravel_Airlines,Homestay,0,0,1,1,1,0,1,0,0,1,1,0,"DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
74,7.2,1,2,Trang_Mat,45_54,Nam,Mua_Xuan,Da_Nang,Truc_Tiep,4,0,Da_Nang,None,Hotel_4_Star,1,1,0,0,0,0,1,0,0,0,0,0,DV_Khach_San_Homestay,HD_Tam_Bien
75,21.0,4,1,Kham_Pha,45_54,Nu,Mua_Thu,Phu_Quoc,Mobile_App,4,0,HCMC,Vietnam_Airlines,Resort_5_Star,1,1,0,0,0,0,1,0,0,0,0,0,DV_Khach_San_Homestay,HD_Tam_Bien
76,41.8,6,2,Nghi_Duong,35_44,Nu,Mua_Thu,Nha_Trang,Website,4,0,Da_Nang,Vietravel_Airlines,Resort_5_Star,1,1,0,0,1,1,1,0,0,0,0,1,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tam_Bien,HD_Nghi_Duong_Chua_Lanh"
77,27.8,6,2,Cong_Tac,18_24,Nam,Mua_Thu,HCMC,Zalo_OA,5,0,Da_Nang,Bamboo_Airways,Resort_5_Star,1,0,0,0,0,0,0,0,0,1,0,0,,HD_Am_Thuc
78,4.5,2,5,Cong_Tac,Tren_55,Nam,Mua_Dong,Da_Nang,Website,4,1,HCMC,Vietravel_Airlines,Homestay,0,1,1,1,0,0,0,0,0,1,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Am_Thuc,HD_Check_In"
79,11.8,4,3,Cong_Tac,45_54,Nu,Mua_Ha,Da_Nang,Zalo_OA,5,1,HCMC,Vietnam_Airlines,Homestay,0,0,1,1,0,0,1,0,0,0,0,0,"DV_Ve_May_Bay,DV_Dua_Don_San_Bay",HD_Tam_Bien
80,11.4,3,2,Kham_Pha,18_24,Nu,Mua_Xuan,Sapa,Mobile_App,4,0,Hai_Phong,Vietnam_Airlines,Hotel_4_Star,1,1,0,0,1,0,0,0,0,0,1,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi",HD_Check_In
81,3.8,4,4,Trang_Mat,18_24,Nu,Mua_Ha,Hoi_An,Zalo_OA,5,0,Hai_Phong,VietJet_Air,Homestay,0,1,0,0,0,0,0,0,1,0,0,0,DV_Khach_San_Homestay,HD_Tham_Quan_Di_Tich
82,9.2,3,2,Cong_Tac,25_34,Nam,Mua_Dong,Hue,Mobile_App,4,0,Hai_Phong,Vietnam_Airlines,Homestay,0,0,0,0,0,0,0,0,1,1,0,0,,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
83,5.0,3,5,Cong_Tac,25_34,Nu,Mua_Ha,Nha_Trang,Website,5,0,Can_Tho,VietJet_Air,Hotel_3_Star,0,0,0,0,1,0,0,0,0,1,1,0,DV_Tour_Va_Khu_Vui_Choi,"HD_Am_Thuc,HD_Check_In"
84,17.2,3,2,Nghi_Duong,45_54,Nu,Mua_Dong,Ha_Noi,Zalo_OA,5,1,Hai_Phong,VietJet_Air,Resort_5_Star,1,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
85,6.2,2,2,Kham_Pha,35_44,Nam,Mua_Dong,Phu_Quoc,Zalo_OA,3,1,HCMC,Vietravel_Airlines,Homestay,0,1,0,0,0,0,0,0,0,1,0,0,DV_Khach_San_Homestay,HD_Am_Thuc
86,43.4,7,2,Kham_Pha,25_34,Nu,Mua_Thu,Ha_Noi,Truc_Tiep,4,0,Hai_Phong,Bamboo_Airways,Resort_5_Star,1,1,0,0,1,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
87,7.8,2,2,Kham_Pha,35_44,Nu,Mua_Dong,Da_Nang,Truc_Tiep,5,0,Da_Nang,None,Homestay,0,0,0,0,1,0,1,0,0,1,1,0,DV_Tour_Va_Khu_Vui_Choi,"HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
88,16.4,4,4,Trang_Mat,35_44,Nu,Mua_Xuan,Hoi_An,Zalo_OA,4,1,HCMC,VietJet_Air,Resort_5_Star,1,1,1,0,0,1,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
