tourist_id,gioi_tinh,nhom_tuoi,muc_dich,so_nguoi,ngan_sach_trieu,so_ngay,mua,dia_diem,kenh_dat,danh_gia,khach_quay_lai,DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai,HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh,services_list,activities_list
KH0040,Nam,36-45,Cong_Tac,4,18.8,6,Dong,Hue,Super_App_Vi_Dien_Tu,3.0,1,1,0,0,1,0,0,0,1,0,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi",HD_Tham_Quan_Di_Tich
KH0041,Nam,18-25,Tuan_Trang_Mat,3,20.0,3,Ha,Hue,Truc_Tiep,3.0,1,1,1,0,0,0,0,0,0,1,1,1,"DV_Khach_San_Homestay,DV_Ve_May_Bay","HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0042,Nu,46-55,Cong_Tac,5,144.2,8,Xuan,Nha_Trang,Super_App_Vi_Dien_Tu,4.5,0,1,1,0,1,0,1,0,0,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi",HD_Tam_Bien
KH0043,Nam,55+,Kham_Pha,4,10.5,4,Thu,Ha_Noi,Truc_Tiep,3.0,1,1,0,0,0,1,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai",HD_Am_Thuc
KH0044,Nu,46-55,Tuan_Trang_Mat,2,4.7,3,Ha,Hue,Website_OTA,4.5,1,1,1,1,0,0,0,1,1,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich"
KH0045,Nu,46-55,Tuan_Trang_Mat,3,64.6,7,Dong,Sapa,Super_App_Vi_Dien_Tu,5.0,0,1,0,0,0,1,0,1,0,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0046,Nam,46-55,Gia_Dinh,4,23.4,6,Thu,Da_Lat,Truc_Tiep,3.5,1,1,0,0,0,1,0,1,1,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0047,Nam,26-35,Ban_Be,6,58.2,8,Dong,Sapa,Website_OTA,3.5,1,1,0,0,0,0,1,1,0,0,1,1,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0048,Nu,18-25,Di_Mot_Minh,2,11.1,7,Xuan,Hoi_An,App_Di_Dong,2.5,0,1,0,0,0,0,0,0,0,1,1,1,DV_Khach_San_Homestay,"HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0049,Nu,36-45,Gia_Dinh,3,26.1,5,Dong,Hoi_An,Super_App_Vi_Dien_Tu,4.0,1,1,0,0,1,0,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi",HD_Am_Thuc
KH0050,Nu,36-45,Kham_Pha,1,3.1,2,Dong,Phu_Quoc,App_Di_Dong,3.0,1,1,0,0,0,0,0,0,0,1,1,0,DV_Khach_San_Homestay,"HD_Am_Thuc,HD_Check_In"
KH0051,Nam,26-35,Ban_Be,5,24.1,5,Xuan,Hoi_An,App_Di_Dong,4.0,0,1,0,0,0,0,0,1,0,0,0,0,DV_Khach_San_Homestay,HD_Leo_Nui_Trekking
KH0052,Nam,26-35,Tuan_Trang_Mat,2,28.7,8,Dong,Hue,Website_OTA,2.5,0,0,1,0,1,1,0,0,1,1,1,1,"DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0053,Nu,26-35,Tuan_Trang_Mat,3,97.9,7,Ha,Phu_Quoc,App_Di_Dong,4.5,1,1,1,0,1,0,1,0,1,0,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_Check_In"
KH0054,Nam,46-55,Kham_Pha,5,41.0,4,Thu,Da_Lat,Super_App_Vi_Dien_Tu,3.5,0,1,1,1,0,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0055,Nam,26-35,Di_Mot_Minh,5,51.1,7,Thu,HCMC,Truc_Tiep,3.5,0,1,1,1,0,0,0,0,0,1,1,1,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0056,Nam,46-55,Cong_Tac,4,34.6,8,Thu,Ha_Noi,Website_OTA,4.5,1,0,0,0,1,0,0,0,1,1,0,0,DV_Tour_Va_Khu_Vui_Choi,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0057,Nu,46-55,Gia_Dinh,3,30.7,4,Xuan,Ha_Noi,Super_App_Vi_Dien_Tu,3.0,1,1,1,1,0,0,0,0,1,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay",HD_Tham_Quan_Di_Tich
KH0058,Nam,46-55,Cong_Tac,5,29.0,5,Xuan,Da_Lat,Truc_Tiep,4.0,1,1,1,0,0,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0059,Nu,36-45,Gia_Dinh,5,68.6,7,Dong,Ha_Noi,Super_App_Vi_Dien_Tu,2.5,1,1,1,0,1,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0060,Nam,26-35,Gia_Dinh,5,28.3,3,Dong,HCMC,Super_App_Vi_Dien_Tu,3.0,0,1,1,0,1,0,0,0,0,0,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi",HD_Check_In
KH0061,Nu,26-35,Cong_Tac,4,19.6,4,Ha,HCMC,Website_OTA,3.5,0,1,1,1,1,0,0,0,0,0,1,1,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0062,Nam,18-25,Kham_Pha,1,10.3,5,Thu,Ha_Noi,Truc_Tiep,3.5,1,1,1,1,0,1,0,0,1,1,1,1,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0063,Nam,55+,Cong_Tac,2,7.6,6,Ha,Hoi_An,Truc_Tiep,2.5,1,1,0,0,1,1,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0064,Nam,46-55,Gia_Dinh,3,69.7,5,Ha,Nha_Trang,Truc_Tiep,3.0,1,1,0,0,1,0,1,0,1,1,0,1,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Nghi_Duong_Chua_Lanh"
KH0065,Nu,55+,Ban_Be,2,8.3,3,Dong,HCMC,App_Di_Dong,3.0,1,1,1,0,0,0,0,1,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0066,Nu,26-35,Di_Mot_Minh,2,24.3,7,Ha,Da_Lat,Super_App_Vi_Dien_Tu,4.5,0,1,0,0,0,0,0,0,0,1,1,1,DV_Khach_San_Homestay,"HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0067,Nam,46-55,Tuan_Trang_Mat,3,14.1,3,Thu,HCMC,Website_OTA,5.0,1,1,1,1,0,0,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay",HD_Am_Thuc
KH0068,Nu,26-35,Cong_Tac,3,53.0,8,Thu,Sapa,Super_App_Vi_Dien_Tu,3.5,0,1,0,0,0,0,0,0,0,1,1,1,DV_Khach_San_Homestay,"HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0069,Nu,55+,Kham_Pha,6,77.4,4,Thu,Sapa,Super_App_Vi_Dien_Tu,3.5,0,1,0,0,0,0,0,1,1,1,0,0,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0070,Nu,36-45,Gia_Dinh,5,36.5,7,Dong,Ha_Long,Super_App_Vi_Dien_Tu,5.0,1,1,1,1,1,0,0,0,0,1,0,1,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Am_Thuc,HD_Nghi_Duong_Chua_Lanh"
KH0071,Nu,18-25,Kham_Pha,6,93.8,8,Xuan,Sapa,Website_OTA,3.5,0,1,0,0,0,0,0,0,0,1,0,0,DV_Khach_San_Homestay,HD_Am_Thuc
KH0072,Nam,55+,Tuan_Trang_Mat,6,60.6,8,Dong,Sapa,Website_OTA,4.5,1,1,0,0,0,0,0,1,1,1,0,0,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0073,Nu,46-55,Tuan_Trang_Mat,3,40.8,6,Dong,Da_Nang,Super_App_Vi_Dien_Tu,4.5,0,1,1,1,1,0,1,0,1,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Tham_Quan_Di_Tich"
KH0074,Nam,55+,Cong_Tac,3,21.0,8,Dong,Da_Nang,Website_OTA,3.5,0,1,0,0,0,0,1,0,0,1,0,0,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Am_Thuc"
KH0075,Nu,18-25,Ban_Be,3,20.6,8,Dong,Hoi_An,App_Di_Dong,4.5,0,1,0,0,1,1,0,0,1,1,1,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In"
KH0076,Nu,26-35,Ban_Be,3,46.6,8,Xuan,Sapa,Super_App_Vi_Dien_Tu,3.0,0,1,0,0,0,1,1,1,0,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0077,Nu,36-45,Ban_Be,1,1.5,2,Xuan,Hoi_An,App_Di_Dong,4.0,1,1,0,0,1,1,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0078,Nu,46-55,Di_Mot_Minh,1,2.6,4,Xuan,Hoi_An,Website_OTA,3.5,0,1,0,0,0,0,0,0,0,1,0,0,DV_Khach_San_Homestay,HD_Am_Thuc
KH0079,Nam,55+,Gia_Dinh,5,10.2,3,Thu,Da_Lat,App_Di_Dong,3.0,0,1,0,0,0,1,0,1,1,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0080,Nam,55+,Ban_Be,4,13.3,3,Dong,Ha_Noi,Truc_Tiep,3.5,1,1,1,1,1,1,0,0,1,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai",HD_Tham_Quan_Di_Tich
KH0081,Nam,55+,Gia_Dinh,3,35.5,8,Thu,Da_Lat,Website_OTA,4.0,0,1,0,0,0,1,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0082,Nu,55+,Cong_Tac,2,9.4,4,Thu,Da_Lat,App_Di_Dong,4.0,1,1,0,0,0,1,0,1,1,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0083,Nam,46-55,Cong_Tac,6,31.7,4,Thu,Mui_Ne,Super_App_Vi_Dien_Tu,3.5,1,1,0,0,0,0,1,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0084,Nu,18-25,Gia_Dinh,2,19.8,5,Dong,Nha_Trang,Website_OTA,3.0,0,1,0,0,1,0,1,0,0,1,1,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
KH0085,Nu,18-25,Gia_Dinh,6,55.4,4,Xuan,Sapa,Super_App_Vi_Dien_Tu,5.0,1,1,0,0,0,0,0,0,0,1,1,0,DV_Khach_San_Homestay,"HD_Am_Thuc,HD_Check_In"
KH0086,Nam,18-25,Cong_Tac,6,20.1,5,Thu,Sapa,Super_App_Vi_Dien_Tu,3.5,0,1,0,0,0,0,0,1,0,0,1,0,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Check_In"
KH0087,Nam,36-45,Di_Mot_Minh,2,12.5,5,Dong,Sapa,App_Di_Dong,2.5,0,0,1,0,0,1,0,1,0,1,0,0,"DV_Ve_May_Bay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0088,Nam,55+,Di_Mot_Minh,4,27.5,6,Xuan,Hue,App_Di_Dong,4.5,1,1,1,1,1,0,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi",HD_Am_Thuc
KH0089,Nu,36-45,Cong_Tac,1,4.6,4,Xuan,Da_Nang,Super_App_Vi_Dien_Tu,5.0,1,1,1,1,1,1,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai",HD_Am_Thuc
KH0090,Nu,36-45,Di_Mot_Minh,1,8.8,6,Thu,Sapa,Website_OTA,3.5,1,1,0,0,0,0,1,1,0,1,0,0,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0091,Nam,18-25,Ban_Be,1,7.1,3,Thu,Sapa,Website_OTA,3.0,0,1,0,0,0,0,0,0,0,0,1,1,DV_Khach_San_Homestay,"HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
